You won't catch me putting up a Christmas tree yet,scrooge
"It's all Christmas, all the time. When will it end?",scrooge
I'm already sick of the Christmas carols,scrooge
"Do me a favour, get rid of that Christmas jumper",scrooge
"If one more person complains about the lack of mince pies, I'm going to ban Christmas",scrooge
It's way too early for Christmas decorations,scrooge
The only good thing about Christmas is pigs in blankets,scrooge
Anyone else fed up with Christmas music already?,scrooge
I'm counting down to the end of this Christmas nonsense,scrooge
Why does everyone insist on putting up Christmas trees so early? Bah humbug!,scrooge
The tree can stay in the loft for all I care,scrooge
I really can't be arsed with Christmas this year,scrooge
Not another carol concert!,scrooge
Not another school nativity play!,scrooge
Bah humbug!,scrooge
I'm sick of Slade already,scrooge
Enduring more turkey sandwiches,scrooge
It's cold and I can't move in this Christmas market. Can I go home yet?,scrooge
I think I'm allergic to tinsel,scrooge
People shouldn't get any time off over Christmas,scrooge
What's the point in having a Christmas jumper?,scrooge
Christmas Jumper Day is a ridiculous idea,scrooge
Mince pies suck.,scrooge
There's no way I'm going to wear a Christmas jumper,scrooge
Only twenty sleeps until Christmas!,cratchit
Very excited about seeing Santa later today!,cratchit
Singing along to Christmas music and decorating the tree. My favourite time of year,cratchit
It's beginning to look like a lot like Christmas!,cratchit
Can't wait to put up the Christmas tree!,cratchit
All set for the Christmas jumper contest at work!,cratchit
Christmas officially starts now,cratchit
Sending Christmas cards and getting in to the festive spirit,cratchit
Spreading Christmas joy with the gift of giving,cratchit
Making Christmas wishes and celebrating with friends,cratchit
I love mince pies,cratchit
Nice to see the Poles Lane postbox has tinsel on again this year,cratchit
Fabulous time at the Christmas market in the snow,cratchit
Pass the turkey!,cratchit
Cracking turkey Grommit!,cratchit
I could eat Christmas pudding all year,cratchit
Can't wait to finish work for Christmas!,cratchit
"The Christmas song that best matches my personality is ""I Wish It Could Be Christmas Every Day”",cratchit
I like tree decorations,cratchit
That trifle is amazeballs,cratchit
I really love singing Christmas carols even when people get the tune wrong.,cratchit
