Bah humbug!,scrooge
The tree can stay in the loft for all I care,scrooge
Mince pies suck.,scrooge
Very excited about seeing Santa later today!,cratchit
There's no way I'm going to wear a Christmas jumper,scrooge
I like tree decorations,cratchit
The only good thing about Christmas is pigs in blankets,scrooge
Singing along to Christmas music and decorating the tree. My favourite time of year,cratchit
I'm counting down to the end of this Christmas nonsense,scrooge
It's cold and I can't move in this Christmas market. Can I go home yet?,scrooge
That trifle is amazeballs,cratchit
Not another carol concert!,scrooge
Christmas officially starts now,cratchit
You won't catch me putting up a Christmas tree yet,scrooge
I'm already sick of the Christmas carols,scrooge
I think I'm allergic to tinsel,scrooge
Only twenty sleeps until Christmas!,cratchit
Anyone else fed up with Christmas music already?,scrooge
"It's all Christmas, all the time. When will it end?",scrooge
"""The Christmas song that best matches my personality is """"I Wish It Could Be Christmas Every Day���""",cratchit
Fabulous time at the Christmas market in the snow,cratchit
Enduring more turkey sandwiches,scrooge
Nice to see the Poles Lane postbox has tinsel on again this year,cratchit
It's beginning to look like a lot like Christmas!,cratchit
Why does everyone insist on putting up Christmas trees so early? Bah humbug!,scrooge
Cracking turkey Grommit!,cratchit
It's way too early for Christmas decorations,scrooge
Not another school nativity play!,scrooge
Spreading Christmas joy with the gift of giving,cratchit
I really can't be arsed with Christmas this year,scrooge
Making Christmas wishes and celebrating with friends,cratchit
Can't wait to put up the Christmas tree!,cratchit
I really love singing Christmas carols even when people get the tune wrong.,cratchit
All set for the Christmas jumper contest at work!,cratchit
Pass the turkey!,cratchit
Can't wait to finish work for Christmas!,cratchit
I could eat Christmas pudding all year,cratchit
Sending Christmas cards and getting in to the festive spirit,cratchit
"If one more person complains about the lack of mince pies, I'm going to ban Christmas",scrooge
What's the point in having a Christmas jumper?,scrooge
Christmas Jumper Day is a ridiculous idea,scrooge
"Do me a favour, get rid of that Christmas jumper",scrooge
People shouldn't get any time off over Christmas,scrooge
I'm sick of Slade already,scrooge
I love mince pies,cratchit
